Year,Month,State,Unemployment rates
2020,January,Alabama,12.3
2020,January,Alaska,8.9
2020,January,Arizona,11.1
2020,January,Arkansas,9
2020,January,California,12.7
2020,January,Colorado,8.9
2020,January,Connecticut,9.5
2020,January,Delaware,9.3
2020,January,District of Columbia,10.2
2020,January,Florida,11.5
2020,January,Georgia,10.9
2020,January,Hawaii,7.2
2020,January,Idaho,10.5
2020,January,Illinois,12.2
2020,January,Indiana,11.8
2020,January,Iowa,7.3
2020,January,Kansas,7.7
2020,January,Kentucky,11.5
2020,January,Louisiana,8.2
2020,January,Maine,9.2
2020,January,Maryland,8.1
2020,January,Massachusetts,9.6
2020,January,Michigan,14.4
2020,January,Minnesota,8.5
2020,January,Mississippi,11.7
2020,January,Missouri,10.3
2020,January,Montana,8.4
2020,January,Nebraska,5.4
2020,January,Nevada,13.5
2020,January,New Hampshire,7
2020,January,New Jersey,10.3
2020,January,New Mexico,8.1
2020,January,New York,9.6
2020,January,North Carolina,12
2020,January,North Dakota,4.8
2020,January,Ohio,12
2020,January,Oklahoma,7.6
2020,January,Oregon,11.9
2020,January,Pennsylvania,9.5
2020,January,Rhode Island,12.1
2020,January,South Carolina,12.4
2020,January,South Dakota,5.9
2020,January,Tennessee,11.2
2020,January,Texas,8.6
2020,January,Utah,8.4
2020,January,Vermont,7
2020,January,Virginia,7.9
2020,January,Washington,11.3
2020,January,West Virginia,9.4
2020,January,Wisconsin,10.1
2020,January,Wyoming,8.1
2020,February,Alabama,12.1
2020,February,Alaska,9.1
2020,February,Arizona,10.7
2020,February,Arkansas,9
2020,February,California,12.6
2020,February,Colorado,8.9
2020,February,Connecticut,9.5
2020,February,Delaware,9.4
2020,February,District of Columbia,9.9
2020,February,Florida,11.2
2020,February,Georgia,10.9
2020,February,Hawaii,6.9
2020,February,Idaho,10.4
2020,February,Illinois,11.9
202,February,Indiana,11.8
2020,February,Iowa,7.1
2020,February,Kansas,7.5
2020,February,Kentucky,11.9
2020,February,Louisiana,7.2
2020,February,Maine,9.5
2020,February,Maryland,8.3
2020,February,Massachusetts,9.2
2020,February,Michigan,14.2
2020,February,Minnesota,8.4
2020,February,Mississippi,11.3
2020,February,Missouri,10.5
2020,February,Montana,8.4
2020,February,Nebraska,5.3
2020,February,Nevada,13.5
2020,February,New Hampshire,6.9
2020,February,New Jersey,10.3
2020,February,New Mexico,8.1
2020,February,New York,9.5
2020,February,North Carolina,12
2020,February,North Dakota,4.8
2020,February,Ohio,11.9
2020,February,Oklahoma,7.6
2020,February,Oregon,11.9
2020,February,Pennsylvania,9.5
2020,February,Rhode Island,11.9
2020,February,South Carolina,12.1
2020,February,South Dakota,5.9
2020,February,Tennessee,10.8
2020,February,Texas,8.4
2020,February,Utah,8.3
2020,February,Vermont,6.9
2020,February,Virginia,7.9
2020,February,Washington,11.2
2020,February,West Virginia,10
2020,February,Wisconsin,10.4
2020,February,Wyoming,7.8
2020,March,Alabama,11.5
2020,March,Alaska,8.9
2020,March,Arizona,10.4
2020,March,Arkansas,8.3
2020,March,California,12.6
2020,March,Colorado,9.1
2020,March,Connecticut,9.2
2020,March,Delaware,9
2020,March,District of Columbia,9.5
2020,March,Florida,11
2020,March,Georgia,10.4
2020,March,Hawaii,6.9
2020,March,Idaho,10
2020,March,Illinois,11.5
2020,March,Indiana,11.6
2020,March,Iowa,6.9
2020,March,Kansas,7.5
2020,March,Kentucky,11
2020,March,Louisiana,7.3
2020,March,Maine,9.2
2020,March,Maryland,8.1
2020,March,Massachusetts,8.9
2020,March,Michigan,14.1
2020,March,Minnesota,8.6
2020,March,Mississippi,10.8
2020,March,Missouri,10.2
2020,March,Montana,8.4
2020,March,Nebraska,5.2
2020,March,Nevada,13.6
2020,March,New Hampshire,6.7
2020,March,New Jersey,10.1
2020,March,New Mexico,8.2
2020,March,New York,9.1
2020,March,North Carolina,11.5
2020,March,North Dakota,4.8
2020,March,Ohio,11.4
2020,March,Oklahoma,7
2020,March,Oregon,11.9
2020,March,Pennsylvania,9.2
2020,March,Rhode Island,11.7
2020,March,South Carolina,11.5
2020,March,South Dakota,5.9
2020,March,Tennessee,10.6
2020,March,Texas,8.3
2020,March,Utah,8.4
2020,March,Vermont,7
2020,March,Virginia,7.7
2020,March,Washington,10.9
2020,March,West Virginia,9.3
2020,March,Wisconsin,10.3
2020,March,Wyoming,7.6
2020,April,Alabama,10.4
2020,April,Alaska,8.3
2020,April,Arizona,10.1
2020,April,Arkansas,7.8
2020,April,California,12
2020,April,Colorado,8.5
2020,April,Connecticut,8.9
2020,April,Delaware,8.5
2020,April,District of Columbia,8.7
2020,April,Florida,10.6
2020,April,Georgia,9.9
2020,April,Hawaii,6.7
2020,April,Idaho,9.4
2020,April,Illinois,10.5
2020,April,Indiana,10.6
2020,April,Iowa,5.9
2020,April,Kansas,6.9
2020,April,Kentucky,10
2020,April,Louisiana,7.1
2020,April,Maine,8.5
2020,April,Maryland,7.3
2020,April,Massachusetts,8.3
2020,April,Michigan,12.9
2020,April,Minnesota,7.5
2020,April,Mississippi,9.8
2020,April,Missouri,9.3
2020,April,Montana,7.5
2020,April,Nebraska,4.6
2020,April,Nevada,13.4
2020,April,New Hampshire,5.9
2020,April,New Jersey,9.4
2020,April,New Mexico,7.9
2020,April,New York,8.5
2020,April,North Carolina,10.9
2020,April,North Dakota,3.8
2020,April,Ohio,10.4
2020,April,Oklahoma,6.5
2020,April,Oregon,11
2020,April,Pennsylvania,8.3
2020,April,Rhode Island,11.2
2020,April,South Carolina,10.9
2020,April,South Dakota,4.9
2020,April,Tennessee,9.6
2020,April,Texas,7.9
2020,April,Utah,7.8
2020,April,Vermont,6.6
2020,April,Virginia,7
2020,April,Washington,10
2020,April,West Virginia,8.4
2020,April,Wisconsin,9
2020,April,Wyoming,7
2020,May,Alabama,9.9
2020,May,Alaska,7.8
2020,May,Arizona,10
2020,May,Arkansas,8
2020,May,California,11.7
2020,May,Colorado,8.5
2020,May,Connecticut,8.9
2020,May,Delaware,8.1
2020,May,District of Columbia,8.9
2020,May,Florida,10.5
2020,May,Georgia,10.1
2020,May,Hawaii,6.7
2020,May,Idaho,8.3
2020,May,Illinois,10.1
2020,May,Indiana,10.3
2020,May,Iowa,5.6
2020,May,Kansas,6.8
2020,May,Kentucky,10
2020,May,Louisiana,7.6
2020,May,Maine,8.1
2020,May,Maryland,7.4
2020,May,Massachusetts,8.2
2020,May,Michigan,12.6
2020,May,Minnesota,7
2020,May,Mississippi,10.4
2020,May,Missouri,9.1
2020,May,Montana,6.8
2020,May,Nebraska,4.5
2020,May,Nevada,13.3
2020,May,New Hampshire,5.6
2020,May,New Jersey,9.2
2020,May,New Mexico,8.1
2020,May,New York,8.2
2020,May,North Carolina,10.9
2020,May,North Dakota,3.4
2020,May,Ohio,9.9
2020,May,Oklahoma,6.8
2020,May,Oregon,10.4
2020,May,Pennsylvania,8.6
2020,May,Rhode Island,11.2
2020,May,South Carolina,10.7
2020,May,South Dakota,4.8
2020,May,Tennessee,9.3
2020,May,Texas,7.9
2020,May,Utah,7.8
2020,May,Vermont,5.9
2020,May,Virginia,7.1
2020,May,Washington,9.9
2020,May,West Virginia,8.3
2020,May,Wisconsin,8.5
2020,May,Wyoming,6.5
2020,June,Alabama,10.5
2020,June,Alaska,7.8
2020,June,Arizona,10.5
2020,June,Arkansas,8.1
2020,June,California,12
2020,June,Colorado,8.9
2020,June,Connecticut,9.1
2020,June,Delaware,8.6
2020,June,District of Columbia,9.5
2020,June,Florida,11
2020,June,Georgia,10.6
2020,June,Hawaii,7.5
2020,June,Idaho,8.5
2020,June,Illinois,10.4
2020,June,Indiana,10.4
2020,June,Iowa,5.9
2020,June,Kansas,7.1
2020,June,Kentucky,10
